"埃必0技","埃必8技","埃必14技"
-0.196276,-0.079273,-0.064257
0.195873,0.18542,0.245979
-0.356021,-0.390587,-0.371248
-0.459033,-0.366381,-0.293729
0.4418,0.496946,0.501035
-0.317839,-0.302009,-0.245056
0.363354,0.372269,0.451665
0.313827,0.349773,0.35018
-0.384002,-0.384002,-0.384002
-0.295563,-0.375836,-0.351618
-0.315279,-0.354816,-0.320907
0.594808,0.624972,0.639423
0.09969,0.177174,0.17885
0.002241,0.327471,0.328037
-0.346562,-0.229464,-0.155979
0.135503,0.163717,0.134703
0.23205,0.186882,0.20203
-0.221165,-0.14989,-0.116896
0.110315,0.016715,0.087794
0.767843,0.823234,0.809269
0.691773,0.729613,0.707951
-0.133718,-0.181943,-0.160448
0.399632,0.399632,0.399632
-0.096392,0.026199,0.072384
-0.29447,-0.325311,-0.224253
