자치구,id,result,z다문화수급자수,z장애아동,z가정위탁수급자수,z기초생활수급자아동수,z한부모가구수,z복지시설수,z시설대비종사자수,z아동복지서비스,z취약계층합one,z취약계층합two
강남구,11680,-0.053474006,0.089147287,0.737922705,0.201716738,0.330874317,0.284825871,0,0.526802218,0.307412241,0.348969933,0.360886247
강동구,11740,0.134790007,0.338501292,0.830917874,0.35193133,0.448907104,0.407545605,0.555555556,0.384404737,0.693015332,0.547810654,0.558225325
강북구,11305,-0.52453594,0.285529716,0.535024155,1,0.687978142,0.74212272,0.5,0.000369686,0.282742588,0.805287306,0.807278529
강서구,11500,-0.356472109,0.679586563,0.830917874,0.317596567,0.765300546,0.822968491,0.611111111,0.09847664,0.478007155,0.837751698,0.834479264
관악구,11620,0.302732645,0.488372093,0.59057971,0.721030043,0.526229508,0.498341625,1,0.268881915,1,0.69554974,0.697267355
광진구,11215,-0.322016302,0.246770026,0.336956522,0.360515021,0.369398907,0.399668325,0.25,0.036968577,0.08357396,0.408594254,0.405590261
구로구,11530,0.078771349,1,0.628019324,0.420600858,0.38715847,0.407131012,0.75,0.300641514,0.796314828,0.718177092,0.717543478
금천구,11545,0.208119589,0.445736434,0.246376812,0.369098712,0.337704918,0.400912106,0.611111111,0.282044745,0.649332449,0.447998106,0.44121286
노원구,11350,-0.383658257,0.472868217,1,0.635193133,1,1,0.555555556,0.302252345,0.616341975,1,1.000000233
도봉구,11320,-0.350841748,0.285529716,0.420289855,0.403433476,0.570765027,0.604477612,0.333333333,0.075396439,0.197214468,0.555041695,0.548056215
동대문구,11230,-0.353419736,0.326873385,0.333333333,0.25751073,0.408743169,0.38225539,0.25,0,0.049070949,0.411008129,0.402490685
동작구,11590,0.59302357,0.233850129,0.479468599,0.193133047,0.350819672,0.287728027,0.694444444,0.512939002,0.942603082,0.350924825,0.349579512
마포구,11440,0.063072861,0.177002584,0.445652174,0.369098712,0.234153005,0.252902156,0.277777778,0.352832445,0.40429692,0.334253349,0.341224059
서대문구,11410,0.304972116,0.151162791,0.428743961,0.115879828,0.421038251,0.303067993,0.305555556,0.551447936,0.615591215,0.3181309,0.310619099
서초구,11650,-0.177643228,0,0.536231884,0.120171674,0.16557377,0.093698176,0.138888889,0.05853358,6.34E-10,0.168294392,0.177643229
성동구,11200,0.0577882,0.293281654,0.304347826,0.321888412,0.237431694,0.21185738,0.166666667,0.435802645,0.378032826,0.322211916,0.320244626
성북구,11290,0.135223646,0.401808786,0.600241546,0.484978541,0.587978142,0.512852405,0.888888889,0.121095787,0.758369539,0.62684154,0.623145893
송파구,11710,-0.215105578,0.320413437,0.933574879,0.579399142,0.554644809,0.581674959,0.583333333,0.146554001,0.496952887,0.696326577,0.712058465
양천구,11470,0.087302824,0.456072351,0.673913043,0.227467811,0.601912568,0.512023217,0.805555556,0.111932635,0.672041974,0.590653974,0.58473915
영등포구,11560,0.648903179,0.571059432,0.382850242,0.124463519,0.22295082,0.120232172,0.5,0.751571165,0.983843764,0.341394646,0.334940586
용산구,11170,0.646869884,0.275193798,0.195652174,0.08583691,0.149726776,0.123134328,0.083333333,1,0.826826313,0.186032005,0.17995643
은평구,11380,-0.20726515,0.711886305,0.849033816,0.386266094,0.949726776,0.783167496,0.805555556,0.128363114,0.687376645,0.909504582,0.894641796
종로구,11110,0.399265503,0.012919897,0.1352657,0,0,0.008291874,0.166666667,0.458552538,0.399265448,-2.52E-09,-5.50E-08
중구,11140,0.292871102,0.068475452,0,0.0472103,0.039071038,0,0.027777778,0.489833641,0.298834409,0.014041754,0.005963307
중랑구,11260,-0.26925764,0.478036176,0.520531401,0.639484979,0.893442623,0.851575456,0.638888889,0.162045595,0.563261649,0.84861795,0.832519289
