자치구,id,다문화가정,장애아동, 가정위탁수급자수,기초생활수급자수,다문화_표준,장애_표준,가정위탁_표준,기초생활_표준,취약아동표준화합,복지시설수,시설대비종사자수,z복지시설수,z시설대비종사자수,복지센터표준화합,다문화-복지,장애-복지,가정위탁-복지,기초생활-복지,표준-표준
종로구,11110,215,236,34,492,-1.469860413,-1.507497068,-1.489322052,-1.682740409,-1.538796269,13,5.54,-1.030517763,0.62948782,-0.401029943,-1.06883047,-1.106467125,-1.088292109,-1.281710466,-1.137766326
중구,11140,258,124,45,635,-1.229321526,-2.038840445,-1.288062315,-1.536527183,-1.465157875,8,5.75,-1.518452309,0.754433417,-0.764018892,-0.465302634,-1.274821553,-0.524043423,-0.772508291,-0.701138983
용산구,11170,418,286,54,1040,-0.334293113,-1.270290203,-1.123395258,-1.122426788,-0.911375268,10,9.2,-1.323278491,2.807111091,1.4838326,-1.818125713,-2.754122803,-2.607227858,-2.606259389,-2.395207868
성동구,11200,432,376,109,1361,-0.255978126,-0.843317846,-0.117096574,-0.794213883,-0.465040329,13,5.38,-1.030517763,0.534291174,-0.496226589,0.240248462,-0.347091258,0.379130014,-0.297987294,0.03118626
광진구,11215,396,403,118,1844,-0.457359519,-0.715226139,0.047570483,-0.30036082,-0.327525395,16,2.69,-0.737757035,-1.066202432,-1.803959467,1.346599947,1.088733328,1.85152995,1.503598647,1.476434072
동대문구,11230,458,400,94,1988,-0.110536009,-0.729458551,-0.39154167,-0.153125124,-0.300313374,16,2.44,-0.737757035,-1.214947191,-1.952704226,1.842168217,1.223245675,1.561162556,1.799579102,1.652390852
중랑구,11260,575,555,183,3762,0.543953519,0.00588273,1.236832564,1.660736852,0.934161536,30,3.53,0.628459696,-0.566420042,0.062039654,0.481913864,-0.056156924,1.17479291,1.598697198,0.872121882
성북구,11290,516,621,147,2644,0.213911791,0.318995792,0.578164335,0.517615269,0.408481671,39,3.26,1.50674188,-0.727064382,0.779677499,-0.565765708,-0.460681707,-0.201513164,-0.26206223,-0.371195828
강북구,11305,426,567,267,3010,-0.289541692,0.062812378,2.773725099,0.891839329,0.885780741,25,2.44,0.140525149,-1.214947191,-1.074422042,0.78488035,1.13723442,3.848147141,1.966261371,1.960202783
도봉구,11320,426,472,128,2581,-0.289541692,-0.387880665,0.23053388,0.453199652,0.029500494,19,2.95,-0.444996307,-0.911507883,-1.35650419,1.066962498,0.968623524,1.58703807,1.809703841,1.386004684
노원구,11350,571,952,182,4152,0.521577808,1.889305238,1.218536224,2.059500195,1.350539704,27,4.48,0.335698968,-0.001189958,0.33450901,0.187068798,1.554796228,0.884027214,1.724991185,1.016030694
은평구,11380,756,827,124,3968,1.556454412,1.296288075,0.157348521,1.871365695,1.23348465,36,3.31,1.213981152,-0.69731543,0.516665722,1.039788689,0.779622353,-0.359317201,1.354699973,0.716818928
서대문구,11410,322,479,61,2033,-0.871310161,-0.354671704,-0.99532088,-0.107113969,-0.609391438,18,6.17,-0.542583216,1.004324613,0.461741397,-1.333051557,-0.816413101,-1.457062276,-0.568855365,-1.071132835
마포구,11440,342,493,120,1349,-0.759431609,-0.288253782,0.084163163,-0.806483524,-0.472700755,17,4.82,-0.640170125,0.201102914,-0.439067211,-0.320364398,0.150813429,0.523230374,-0.367416313,-0.033633544
양천구,11470,558,682,87,2695,0.44885675,0.608388167,-0.519616048,0.569761244,0.256818377,36,3.19,1.213981152,-0.768712914,0.445268238,0.003588512,0.163119929,-0.964884286,0.124493006,-0.188449861
강서구,11500,731,812,108,3293,1.416606222,1.225126016,-0.135392914,1.18119837,0.916974692,29,3.1,0.530872787,-0.822261028,-0.291388241,1.707994463,1.516514257,0.155995327,1.472586611,1.208362933
구로구,11530,979,644,132,1909,2.803900263,0.42811095,0.303719239,-0.233900262,0.929762872,34,4.47,1.018807334,-0.007139748,1.011667585,1.792232678,-0.583556635,-0.707948346,-1.245567848,-0.081904713
